Sample	Number_Unique_Mapped
All1_Gae_3_Unique.sorted.bam_chrCnn_random.bam.stats	1593365
All1_Gae_3_Unique.sorted.bam_chrUnn_random.bam.stats	72998
All1_Gae_3_Unique.sorted.bam_J11.bam.stats	24853
All1_Gae_3_Unique.sorted.bam_J12.bam.stats	145765
All1_Gae_3_Unique.sorted.bam_J13.bam.stats	51772
All1_Gae_3_Unique.sorted.bam_J14.bam.stats	24583
All1_Gae_3_Unique.sorted.bam_J15.bam.stats	52963
All1_Gae_3_Unique.sorted.bam_J16.bam.stats	11628
All1_Gae_3_Unique.sorted.bam_J17.bam.stats	71514
All1_Gae_3_Unique.sorted.bam_J18.bam.stats	63781
