Name,"Individual_
No.",2015.12.18,2016.01.20,2016.02.17,2016.03.16,2015.12.18,2016.01.20,2016.02.17,2016.03.16,2015.12.28,2016.01.21,2016.02.18,2016.03.21,2015.12.28,2016.01.21,2016.02.18,2016.03.21,2016.05.13
F2,138-158,22,44,140,150,60,56.5,66.5,70,1,4,12,13,16,18,3,4,196
F2,138-159,19,52,106,135,44,60.5,75,68.5,0,0,10,10,20,18,10,9,175
F2,138-160,17,42,145,138,47.5,43.5,71.5,69.5,0,12,11,12,19,16,4,8,202
F2,138-161,9,44,40,160,33,51.5,56.5,65.5,0,0,0,7,18,15,13,9,176
F2,138-162,18,57,104,148,40,53.5,84,72.5,2,2,10,15,13,18,8,7,179
F2,138-163,12,49,115,149,43.5,59,65,66,5,5,10,13,5,24,10,3,167
F2,138-164,18,49,116,126,45.5,46,69,68.5,0,0,9,14,18,21,7,5,159
F2,138-165,15,50,73,127,40,62.5,68,67.5,0,0,7,13,19,17,10,6,174
F2,138-166,22,64,152,160,48,61.5,70,67,0,11,12,16,20,13,5,6,168
F2,138-167,24,43,156,143,56.5,53,80,73.5,0,7,9,13,22,15,5,7,173
F2,138-168,18,31,135,139,48.5,41,68.5,68,0,10,12,20,18,14,4,6,155
F2,138-169,8,49,107,115,28.5,63.5,54,61,1,0,10,10,14,14,4,4,150
F2,138-170,24,46,106,137,46,59.5,80,71.5,0,4,8,12,16,14,9,6,166
F2,138-171,18,39,129,144,44.5,39,69,72.5,1,3,14,19,21,14,1,9,164
F2,138-172,20,41,110,145,36.5,51.5,48.5,57,2,9,8,12,18,11,3,4,153
F2,138-173,19,51,126,125,49,49,62.5,73.5,2,2,12,14,15,20,1,2,149
F2,138-174,16,36,119,138,52.5,60.5,63.5,72.5,0,9,8,12,20,12,5,4,157
F2,138-175,9,46,120,125,50.5,68.5,64,70,0,6,9,14,21,9,6,5,157
F2,138-176,9,44,133,130,44.5,68.5,62,49.5,0,6,11,14,17,13,1,2,149
F2,138-177,17,28,60,128,35.5,38.5,77.5,72,0,9,9,16,17,16,6,6,154
F2,138-178,14,42,68,91,24.5,47,57,65,0,0,13,12,18,18,2,4,87
F2,138-179,10,37,51,94,39.5,51.5,69,75,0,0,10,12,18,16,5,7,135
F2,138-180,11,28,50,123,31,29,72.5,70.5,0,0,8,8,14,17,8,8,125
F2,138-181,13,60,35,89,14.5,53.5,55,53.5,0,0,6,9,13,14,4,5,125
F2,138-182,22,48,101,105,43.5,52,57.5,42,2,11,10,10,23,14,5,13,128
F2,138-183,17,49,111,149,47,57.5,62,57,0,6,10,8,19,13,7,10,174
F2,138-184,17,51,107,150,46,50,90,54.5,0,0,15,10,19,21,5,8,157
F2,138-185,13,45,115,153,43.5,41,61.5,46.5,0,6,10,11,16,10,5,10,167
F2,138-186,14,42,109,126,38,53,67.5,44.5,2,0,9,10,15,16,2,10,144
F2,138-187,15,58,95,129,29.5,56,58,50,1,3,9,8,16,18,4,6,158
F2,138-188,20,93,137,156,47,60.5,63.5,46,0,12,11,12,21,6,4,11,157
F2,138-189,19,46,127,158,52,57,60,46.5,6,10,12,8,11,5,1,10,171
F2,138-190,19,95,113,122,41,67.5,62.5,45.5,2,12,11,12,15,6,3,6,147
F2,138-191,32,27,146,194,65.5,14.5,80,71.5,0,17,16,17,25,7,3,11,213
F2,138-192,20,19,37,40,9,57,23.5,31,6,7,6,6,3,3,2,4,73
F2,138-193,26,100,110,154,65,59,52.5,52.5,12,15,12,13,8,3,3,10,197
F2,138-194,17,48,84,56,30.5,57.5,51.5,43.5,4,6,6,6,5,6,2,6,108
F2,138-195,26,41,73,156,32.5,55,65,54.5,1,1,9,17,14,17,5,12,157
F2,138-196,20,37,104,145,28.5,55.5,55.5,66,0,0,8,9,14,19,3,8,130
F2,138-197,13,42,104,118,43,60,60,58.5,0,0,9,9,18,23,3,9,153
F2,138-198,11,49,54,126,31,65,70.5,47.5,0,0,7,11,15,19,5,10,135
F2,138-199,16,47,135,150,38.5,61,65.5,53.5,0,9,16,13,19,11,2,13,175
F2,138-200,14,41,104,141,43,51,75.5,57,0,0,8,15,23,27,7,7,159
F2,138-201,14,64,105,139,32.5,55,71,51,0,1,7,10,14,18,6,11,175
F2,138-202,18,45,105,102,38.5,59.5,57.5,44.5,9,7,5,8,3,4,2,7,128
F2,138-203,18,60,110,141,27,61.5,86.5,42.5,0,0,9,13,13,18,5,10,172
F2,138-204,18,50,104,148,32,52,80,51,0,0,6,15,15,19,8,8,192
F2,138-205,19,51,49,142,34,62,85,60.5,0,0,6,14,15,17,7,9,173
F2,138-206,23,40,101,155,46.5,56,68,61,0,0,11,17,17,24,5,5,179
F2,138-207,13,45,50,107,40.5,60,75,44,0,0,10,13,17,16,8,8,130
F2,138-208,11,40,62,123,52,50.5,79.5,48,0,0,8,15,19,27,7,6,177
F2,138-209,14,44,83,106,29.5,58,60,39.5,2,8,8,8,9,3,3,6,114
F2,138-210,18,37,138,135,38.5,39.5,74.5,53,3,11,11,12,16,8,4,9,183
F2,138-211,15,50,79,148,30.5,52.5,78,51,0,0,7,12,14,20,4,9,148
F2,138-212,14,52,130,172,24,59,60,46.5,0,14,9,10,15,3,2,10,158
F2,138-213,13,44,130,165,43,53,84.5,59,0,3,11,13,19,21,7,8,194
F2,138-214,15,39,107,141,26.5,55,67.5,47,0,0,9,11,13,17,4,10,170
F2,138-215,12,40,88,139,33,52.5,52.5,45,6,6,9,12,4,3,8,8,227
F2,138-216,14,38,57,138,37.5,60.5,55,54,0,0,13,16,16,21,8,12,165
