"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"r_ID__Hmax[ID_23,Intercept]",3.90009115088478,0.04944158141102,4.944158141102,-5.15946704756515,0.556903041860127,3.65484619832589,7.03622257415702,14.2845384315426,10000,1.00012533348175
"r_ID__Hmax[ID_231,Intercept]",5.69206844148204,0.0341761485020959,3.41761485020959,-0.755896990256025,3.32943211105339,5.59552244788463,7.94391532817326,12.7094182249302,10000,1.00002710372069
"r_ID__Hmax[ID_234,Intercept]",3.8108972194036,0.0314808214629062,3.14808214629062,-2.27073212615265,1.68729926191154,3.72464922348288,5.92805168826475,10.0861528440516,10000,0.999785857532736
"r_ID__Hmax[ID_24,Intercept]",1.27965743985895,0.0381209067798437,3.81209067798437,-5.61202634304976,-1.37634347315411,1.08816741040077,3.70080451593561,9.50674394795784,10000,0.999881878194515
"r_ID__Hmax[ID_25,Intercept]",-4.33501593060014,0.0433058940508727,4.33058940508727,-11.8639149884354,-7.34835728958639,-4.68333982546562,-1.66004464965782,5.2293612013897,10000,1.00032689984977
"r_ID__Hmax[ID_26,Intercept]",-2.32649014782802,0.0376858393052727,3.76858393052727,-9.32327311809284,-4.86838307247145,-2.50302499079026,0.00368791939413864,5.51176563245857,10000,1.00006132603315
"r_ID__Hmax[ID_27,Intercept]",0.743551430788945,0.0324846718417727,3.24846718417727,-5.12925567069661,-1.46362213956268,0.608125666349453,2.74459018860595,7.72629587363186,10000,0.999974415214026
"r_ID__Hmax[ID_28,Intercept]",-10.1252360415755,0.0758069204777935,5.92481194191792,-19.6038760461037,-14.2646351674849,-10.965228140002,-6.7549647258268,3.86796466279512,6108.45573377562,1.00086313450766
"r_ID__Hmax[ID_29,Intercept]",1.19862916291423,0.0329815895934628,3.29815895934628,-4.95094154988686,-1.01238925031025,1.04235617032505,3.2527073969899,8.12540112514489,10000,0.999936852771548
"r_ID__Hmax[ID_3,Intercept]",7.56499844814456,0.036613108449468,3.6613108449468,0.613253694876462,5.08463684784726,7.4560500640113,9.96508757919342,14.9898930445541,10000,0.999898675503309
"r_ID__Hmax[ID_30,Intercept]",-2.79144372667522,0.0474231410893639,3.95140753500657,-9.43467202787337,-5.5008025439564,-3.19392118961592,-0.537040047332624,6.26005029974328,6942.61392188068,1.00009440523589
"r_ID__Hmax[ID_32,Intercept]",-0.253886009239788,0.044774364219134,3.87544970634762,-6.92351636556272,-2.930972975914,-0.60006275748546,1.99616363268754,8.35616906100078,7491.78585379783,1.00038545249207
"r_ID__Hmax[ID_34,Intercept]",-14.8477685903895,0.130136604266962,7.84107759643001,-25.7547041832846,-20.6638242817314,-16.6969440200193,-10.2976995667052,3.82475170225067,3630.38398712223,1.00143419288212
"r_ID__Hmax[ID_35,Intercept]",-3.57884410543456,0.0418613049812156,4.18613049812156,-10.9053514417422,-6.46332895966442,-3.89676525701078,-1.05751830630136,5.40930056561491,10000,1.00018766839484
"r_ID__Hmax[ID_36,Intercept]",-3.19000904327127,0.0303662309893685,3.03662309893685,-8.69521008463843,-5.27877684607385,-3.29502204511907,-1.31223000206942,3.08449831211072,10000,0.999944901003096
"r_ID__Hmax[ID_37,Intercept]",9.12587794531689,0.0374958942317075,3.74958942317075,2.27187440672722,6.54743208760837,8.97196099487674,11.4547866131114,16.9513282981209,10000,1.000293071332
"r_ID__Hmax[ID_38,Intercept]",12.9444522896082,0.0327013634735173,3.27013634735173,6.91249675221679,10.7019797848175,12.7596263626681,14.9468115484876,19.8650544533783,10000,1.00002135112802
"r_ID__Hmax[ID_39,Intercept]",-4.25581286457211,0.0436417120125359,4.36417120125359,-11.9623638697028,-7.22015127756755,-4.56142566537452,-1.62812875770911,5.30543013933359,10000,0.999966699602671
"r_ID__Hmax[ID_4,Intercept]",4.12091850756985,0.067318853638901,3.98018450003725,-1.96601615125027,1.60688195468064,3.55230633017962,5.7510903809596,14.9619296782649,3495.69058251543,1.00028585729101
"r_ID__Hmax[ID_40,Intercept]",-2.97120338502707,0.0527703980116589,4.19734434389175,-9.84363704608434,-5.91390048840243,-3.45788739285109,-0.535554451793978,6.77317260421751,6326.57206713922,0.999922764292832
"r_ID__Hmax[ID_41,Intercept]",-4.14160606112507,0.0406663870364572,4.06663870364572,-11.1778703946831,-6.91068657490011,-4.47766909913194,-1.75573873728506,4.95803213204517,10000,1.00056084047893
"r_ID__Hmax[ID_42,Intercept]",1.78568627717095,0.0480832364314225,4.09014251096197,-5.16105744680508,-1.09617710433255,1.40748046217082,4.29500584013593,10.9717713506187,7235.84902245216,0.99979502241004
"r_ID__Hmax[ID_45,Intercept]",2.35249964474841,0.0421554705625035,3.53008733461103,-3.61754440000839,-0.0506211869388011,2.03770329691062,4.30687826964871,10.404014213648,7012.3408377326,1.0000874864301
"r_ID__Hmax[ID_47,Intercept]",-4.3545145613629,0.0487159295866528,4.0468040600679,-11.6546095676086,-7.07737271683151,-4.54548853077077,-1.93296345026878,4.31123151567189,6900.52869104683,0.999993000402132
"r_ID__Hmax[ID_48,Intercept]",-6.20899357514916,0.0479681125721931,4.41647805364788,-13.6034728869976,-9.30065939323521,-6.67278677349337,-3.58374826719208,3.89869475894035,8477.09192440374,1.00032642810848
"r_ID__Hmax[ID_49,Intercept]",-5.70173629994083,0.0410218086500386,4.10218086500386,-12.8569636143964,-8.47725946889365,-5.99207135755357,-3.29560641697133,3.35394197988483,10000,0.999886104101246
"r_ID__Hmax[ID_50,Intercept]",-5.01574735868337,0.0515327783115721,5.15327783115721,-13.7810016416809,-8.59174373597094,-5.52157712735407,-1.9102523468225,6.38281350968191,10000,1.00014851681897
"r_ID__Hmax[ID_51,Intercept]",6.71164420208218,0.0290048065521635,2.90048065521635,1.43866994677545,4.87129851827777,6.58520182123386,8.37965477659862,12.5999091754214,10000,1.00075593204458
"r_ID__Hmax[ID_52,Intercept]",17.2353184395721,0.0249221640082886,2.49221640082886,12.3417079195613,15.5488756418196,17.2519942363715,18.9222524425098,22.1407269981876,10000,0.999855290062188
"r_ID__Hmax[ID_53,Intercept]",-7.55882431780288,0.0587317114656966,4.89305903152284,-15.6005651804642,-11.0913357053623,-8.13133089894202,-4.46851155690106,3.19735112532548,6940.89696397735,1.00031843710207
"r_ID__Hmax[ID_55,Intercept]",-14.3321219610535,0.0579486403591366,4.0969248286184,-21.0270394744144,-17.0369434175018,-14.8344337619278,-12.2737473139813,-4.4214380248207,4998.38252729099,1.00073791864127
"r_ID__Hmax[ID_56,Intercept]",-5.10364772386325,0.0514941171289265,4.36029916225511,-12.4398468363121,-8.13455757545439,-5.56712042372425,-2.51014428052056,4.82650410640716,7169.9700545554,1.00010221079862
"r_ID__Hmax[ID_57,Intercept]",9.43280313553366,0.0380812501921973,3.80812501921973,2.40148858698341,6.81268004813671,9.25852668510109,11.874338140291,17.3976188793074,10000,0.999860927634147
"r_ID__Hmax[ID_58,Intercept]",-9.81789725849776,0.0604725003018391,4.86527156502346,-17.7685584676671,-13.2224323143058,-10.4143132463514,-7.16795453514183,1.52708913493159,6472.8914189466,1.00012984525923
"r_ID__Hmax[ID_59,Intercept]",-6.05130471447614,0.0621983858333698,4.76346991250947,-13.6247681812883,-9.49543170798332,-6.80478248157056,-3.19393778276358,4.81477254383594,5865.27831433851,0.999812194249656
"r_ID__Hmax[ID_6,Intercept]",-2.20876295228159,0.0446190311719768,4.46190311719768,-10.1327551579177,-5.2439716288788,-2.4840121266912,0.469162083385417,7.67976605044743,10000,1.00021902905059
"r_ID__Hmax[ID_60,Intercept]",3.10783554358635,0.0487831924406776,4.10541706478478,-3.70096533533411,0.252114163024242,2.64062022499104,5.46981601273011,12.5449106951813,7082.29693000725,0.999896238367153
"r_ID__Hmax[ID_61,Intercept]",-7.31366862723695,0.0516550936098799,4.07587705766869,-14.1943559325821,-10.0951783958419,-7.7034834334421,-5.025884807613,1.99564890980406,6226.09647110352,1.00009004231901
"r_ID__Hmax[ID_62,Intercept]",-16.3967520458676,0.168752870131123,9.32413909487682,-28.7073830862572,-23.5300712872465,-19.2649917730567,-9.94390008376846,4.56860822311123,3052.91808193425,1.00114370041719
"r_ID__Hmax[ID_63,Intercept]",-5.59522740422414,0.0315060463694922,3.15060463694922,-11.5120400635171,-7.74804442536866,-5.70135932570172,-3.59764816370307,0.786515566899165,10000,1.00044295683066
"r_ID__Hmax[ID_64,Intercept]",-1.95679819596503,0.0376559099956498,3.76559099956498,-8.54171582115499,-4.5195492745708,-2.19475991188378,0.241283481032601,6.30879802183467,10000,0.999853641906551
"r_ID__Hmax[ID_65,Intercept]",3.4545248911688,0.0326965816209377,3.26965816209377,-2.59534442656033,1.31294568505541,3.26076580162497,5.45985132671825,10.3840244082778,10000,1.00005987620488
"r_ID__Hmax[ID_67,Intercept]",6.39535109474174,0.0460556125286781,3.89295109491784,-0.256722207489866,3.70454788233895,6.0218640924563,8.69719621254544,15.2277677759251,7144.84432281613,1.00021615468252
"r_ID__Hmax[ID_68,Intercept]",-4.43769593518809,0.0511693978094592,4.22531112863848,-11.7276146084356,-7.32378856926495,-4.82271229490153,-1.98598550813929,5.12089654218664,6818.62450731891,1.00011389850068
"r_ID__Hmax[ID_69,Intercept]",-9.22152254430176,0.0716396366324345,5.8137185937586,-18.7057620898339,-13.3188603003693,-9.94761540730935,-5.85401024378107,4.25332684313297,6585.6897006192,1.00015222668354
"r_ID__Hmax[ID_7,Intercept]",-0.0246593579296249,0.0637591357626105,4.99553182328004,-8.79734471069847,-3.60758210548845,-0.25896266107431,3.29645000015769,10.3814994258364,6138.73119107131,1.00038549120648
"r_ID__Hmax[ID_72,Intercept]",-7.05729157343432,0.0584441840624786,4.69592590760836,-15.1164920515773,-10.2445323251388,-7.44470684716975,-4.3531765283893,3.58789315069978,6455.94574988161,1.00029056826982
"r_ID__Hmax[ID_73,Intercept]",0.528538405507456,0.040492903360293,4.0492903360293,-6.66434412204808,-2.26836678048363,0.294807980322588,3.06807220894124,9.37303325022338,10000,1.00026281589056
"r_ID__Hmax[ID_74,Intercept]",4.32530698485204,0.0375191691938493,3.75191691938493,-2.48980349892268,1.72659256749574,4.10818667048412,6.69631362344918,12.2575070425377,10000,0.999881918172942
"r_ID__Hmax[ID_75,Intercept]",-7.34193656700104,0.053190663442437,4.7625070302205,-15.5456186960575,-10.5935087013038,-7.8077584120507,-4.59904628620882,3.5870002063307,8016.78884831978,1.0004136187125
"r_ID__Hmax[ID_76,Intercept]",1.18497517252265,0.0407121991733944,4.07121991733944,-6.13041306323311,-1.58328733160919,0.923152616630096,3.67978266663894,10.1181425775655,10000,0.999715789048443
"r_ID__Hmax[ID_77,Intercept]",-10.3696654694096,0.0569407377201992,4.70922040014012,-18.1296529691791,-13.5898727491606,-10.9075922242774,-7.78559261091559,0.730317605950043,6839.93310510656,1.00072219764487
"r_ID__Hmax[ID_78,Intercept]",5.90591498482584,0.040419227118395,4.0419227118395,-1.54403919292336,3.1863488188722,5.73253049475007,8.39498674226565,14.4075378156158,10000,1.0003902165215
"r_ID__Hmax[ID_79,Intercept]",6.96126373632996,0.0366548356011648,3.66548356011648,0.172469795484535,4.45379457230215,6.79244719937082,9.23074759920535,14.6454326748448,10000,0.999784289884776
"r_ID__Hmax[ID_8,Intercept]",-6.13213319738671,0.0489787974256723,4.33198942970313,-13.6008658186913,-9.10729340351958,-6.48776100521055,-3.51392355980399,3.53509260903498,7822.73360568384,0.999871876588392
"r_ID__Hmax[ID_80,Intercept]",5.89484166319119,0.0428672541367927,4.28672541367927,-1.81606723842267,2.92874895288826,5.62156896696037,8.62303919567439,15.0035415228228,10000,0.999930106729937
"r_ID__Hmax[ID_81,Intercept]",-3.23458705785288,0.0431189276357843,4.31189276357843,-10.9173919459143,-6.16385360908487,-3.49942473794363,-0.617294975634716,6.37592869810446,10000,0.999982007179227
"r_ID__Hmax[ID_82,Intercept]",-4.3626121300559,0.0394665058995168,3.94665058995168,-11.6547501425611,-6.97715248870361,-4.57628953273984,-1.99269985361914,4.00860457269687,10000,0.999698707714518
"r_ID__Hmax[ID_84,Intercept]",5.64945694257354,0.0303531428604803,3.03531428604803,0.184302075330573,3.63076250183202,5.5208311751027,7.44753294300698,11.8683110040407,10000,1.00042463779394
"r_ID__Hmax[ID_85,Intercept]",-7.9995626351036,0.0559027313008982,4.62933869301185,-15.6845415869335,-11.2137143570029,-8.50714265339985,-5.36141105464828,2.81912539447639,6857.59539042947,1.00061499896767
"r_ID__Hmax[ID_86,Intercept]",-2.47500576702744,0.0533001841921332,4.54312417032182,-10.1638885109517,-5.66824238909608,-2.92961178652785,0.274560749503356,7.6052520251464,7265.27059266266,1.00005481918528
"r_ID__Hmax[ID_87,Intercept]",0.0358133615147056,0.0310255977629631,3.10255977629631,-5.73111128204654,-2.07323722619242,-0.0495792827765087,2.00001605804884,6.44735798459959,10000,0.999898251634104
"r_ID__Hmax[ID_88,Intercept]",0.924070402091489,0.0410284714717472,4.10284714717472,-6.40685212132507,-1.91434548540922,0.69423235121271,3.57586235530846,9.63589685784123,10000,1.00006247519919
