"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"r_ID__k[ID_82,Intercept]",0.140008100426015,0.00505462290921469,0.505462290921469,-0.806123359882101,-0.161184723485445,0.0824656893299205,0.425936557255189,1.27772561730031,10000,1.00049142433821
"r_ID__k[ID_84,Intercept]",-0.0368183978597329,0.00674749407516095,0.511540007066294,-1.0686813076913,-0.337467389421884,-0.0225933139051589,0.238463175277539,1.06101862158997,5747.43656366658,1.00050426565262
"r_ID__k[ID_85,Intercept]",0.356821387018129,0.0106469045972572,0.546356699708025,-0.559646318674963,-0.00466959441765363,0.2737877663413,0.685643278120012,1.59634000687577,2633.33323827365,1.00228909273028
"r_ID__k[ID_86,Intercept]",-0.111120046562417,0.00699268687255863,0.502298165590423,-1.1534001185717,-0.412201047543085,-0.0783971154925174,0.176373203047665,0.913358228258194,5159.82558505462,1.00009248609969
"r_ID__k[ID_87,Intercept]",-0.0883305208842648,0.00739871368066029,0.507694459157418,-1.14631504575365,-0.393344982501729,-0.0573895362346644,0.2034627454639,0.971707762373794,4708.60657942753,1.00078741105776
"r_ID__k[ID_88,Intercept]",-0.155680317672984,0.011822367298556,0.532981690072637,-1.3318892549227,-0.46046768251651,-0.102670467482423,0.149774899418779,0.872962964748987,2032.43040550617,1.00232777776577
"r_ID__k[ID_89,Intercept]",-0.188136308928242,0.00741946036729301,0.506672928907646,-1.28370775401618,-0.483524648231458,-0.133304270119693,0.104393016338652,0.795286259708868,4663.48692304077,1.0007161050791
"r_ID__k[ID_9,Intercept]",-0.124806119515605,0.00720297650074772,0.468450745557665,-1.10117167217208,-0.401080586946041,-0.0876054992213201,0.145575947007059,0.796052771206876,4229.64456330633,1.00227308405131
"r_ID__k[ID_90,Intercept]",-0.311968366039293,0.0113884987690245,0.531332187415509,-1.4656321627209,-0.642693913001683,-0.250974567341832,0.0219585490536565,0.665303227797166,2176.70358745452,1.00147525031119
"r_ID__k[ID_91,Intercept]",-0.302328525703035,0.0104533716414404,0.530751780260465,-1.45816613959723,-0.631496758021858,-0.234241445401918,0.0395621123970549,0.667828583844164,2577.9241644897,1.00141450752036
"r_ID__k[ID_92,Intercept]",0.00758605119487708,0.00758029326275102,0.532440397222838,-1.06398869089412,-0.296536922317013,-0.00309323961470995,0.277711165744194,1.17380055054731,4933.66869058817,1.00006228253108
"r_ID__k[ID_94,Intercept]",0.0806760271332429,0.00749900958669269,0.503706564419504,-0.900065994144734,-0.209336174986831,0.0377349856200155,0.360066605927911,1.17702520976281,4511.77469224958,1.0001194489703
